0	0.0298421565390559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0	0,0,0,0,0,0,0,0.16450584204192803,0.06292383073485541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14921077936015878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0	0,0,0,0,0,0,0.019101421826672686,0,0.03282982436432704,0,0.01941878003873609,0,0.042181755950125785,0,0,0,0.019101421826672686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0	0,0,0,0,0.1193265394732579,0,0.03993933699303611,0,0,0,0.040602904171130084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0	0,0,0,0.004412356407853788,0,0,0,0,0,0.03764069806132498,0,0.01463470267554685,0,0,0.0693654284439008,0,0.021172659154884067,0,0,0.025747009856294897,0,0,0,0.04193644878700437,0,0,0,0,0,0,0,0,0,0,0.009281034749094103,0,0,0,0,0,0,0,0,0
0	0,0,0,0.009271534296299582,0,0.013561467537666743,0.016683519210908316,0,0.019116100387395495,0,0.011307137817788327,0.0038439253096986016,0,0,0,0,0.005561173479463227,0,0,0.0450844286914065,0,0,0,0,0,0,0,0,0.011332464202431036,0,0,0,0,0,0.00975096116762125,0,0,0,0,0,0,0,0.017371973907712238,0
0	0,0.28457567454157034,0,0,0,0,0,0,0,0,0.02791449578573513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0	0,0,0,0,0,0,0,0,0.017560138220977576,0,0,0.02824838053013306,0.011281167036833396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0	0,0.1751234985494402,0,0,0,0,0,0,0,0,0.017178151892696083,0.011679619351645465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033656203691933555,0,0,0,0,0,0,0,0,0,0,0,0
0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0	0,0,0,0.0026731795079978147,0,0,0,0,0,0,0,0.002216569995812144,0,0,0,0,0.0032068079587766335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004118769532639806,0,0,0,0.025753822439466657,0,0,0,0,0,0.00922074032682085
