sh600000浦发银行.txt	0,0.0048508475915733235,0.13568280034718022,0.003411493414634441,0.01620103296911023,0,0,0,0.007972776625087283,0,0.004726471557740719,0,0,0,0,0,0.007635921057156037,0.03278855429809944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01150171330775507,0,0.014446121055185942
sh600004白云机场.txt	0,0.005457203474448573,0,0.009594824926626727,0,0,0,0,0,0,0.0017724268770709986,0.0033550315542572188,0,0,0,0,0,0,0,0.003921618389671343,0,0,0,0,0,0.009430446224148011,0,0,0,0.004141665963682075,0.004350472271233953,0.005949054670150123,0,0,0,0,0,0,0,0.006506669565708346,0,0,0.005457203474448573,0
sh600006东风汽车.txt	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006066665297941412,0,0,0,0.01801061376245334,0,0.007826055021835275,0,0,0,0,0,0,0,0
sh600007中国国贸.txt	0,0,0,0,0,0,0,0,0.005552469611147405,0,0,0,0,0,0,0.18034077013184624,0,0,0,0.05826404508064661,0,0,0,0,0,0,0,0,0,0,0.0040397242819583895,0,0,0,0,0,0,0,0,0,0,0,0.10134806316629008,0
sh600008首创股份.txt	0,0.0062368038952881795,0.007268721535174185,0.002193102856303215,0,0,0,0,0,0,0,0.011502965514573388,0,0,0.020031007594936794,0,0,0,0,0,0,0,0,0.016722985581380818,0,0,0,0,0,0.007099998909498299,0,0.03399459712735358,0,0,0.00430173506579784,0,0.014052237726461489,0,0,0,0,0,0,0.009286791882031282
sh600009上海机场.txt	0,0,0.00565345021980808,0.003411493414634441,0,0,0,0,0.0026575923048903754,0,0,0.0059645006131150815,0,0,0,0,0,0,0,0,0.0070326639822022256,0,0,0,0,0,0,0,0,0.0036814809011786885,0.003867086510138632,0.010576097319424847,0,0,0,0.0047491448233079,0.010929518496343845,0,0.004955415600299011,0,0.0070326639822022256,0,0.0048508475915733235,0.007223060527592971
sh600010包钢股份.txt	0,0,0.0066145362828348864,0.005987170513332431,0,0,0,0,0.0031093827737421796,0,0.0036866476845663462,0,0,0,0,0,0,0,0,0.004078482882161668,0,0,0,0,0,0.009807663488531619,0,0,0,0,0.0022622454462013167,0.0061870164881812,0,0,0.003914578723943518,0.005556499044803473,0,0,0.005797835836576368,0.006766935944995858,0,0,0,0
sh600011华能国际.txt	0,0.00961947697045663,0,0.0016912911464147169,0,0,0,0,0,0,0.00312427777443751,0.0029569768584259857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004155789714414484,0,0,0,0.0018251408685558274,0.001917157204220512,0,0,0,0.003317439676892071,0.009417795219238466,0,0,0.004913420319463908,0,0,0,0,0
sh600012皖通高速.txt	0,0.013047106622655477,0.045617492455449854,0.0022939351053073466,0,0,0,0,0.007148006509560801,0,0.0021187630765721333,0.0020053061341638256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020951972856466262,0,0,0,0.0026002821705045087,0,0.2057764502935189,0,0,0,0,0,0,0,0,0,0,0
sh600015华夏银行.txt	0,0,0.16920907331629872,0.004641217538645097,0,0,0.019653442717814447,0.0382960553514622,0.004820748576215424,0,0.002857866475376366,0.0013524157649011845,0,0,0,0,0.013851204903265541,0,0,0,0.006378462342929109,0,0,0,0,0,0,0,0,0.0033390173842811296,0.0035073573462618955,0.004796136901878578,0,0,0.009103671620600535,0,0,0,0,0.005245686876775089,0.006378462342929109,0,0,0
sh600016民生银行.txt	0,0,0.14882706574775825,0.004989308946976598,0.007898003594508003,0,0.007042484034079618,0,0.007773457223939293,0,0.007680516410083355,0,0.009020491768862457,0,0,0,0.007445023051528289,0,0,0.006797471976720548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011214170506393223,0,0.007042484034079618
sh600017日照港.txt	0.014707971186725623,0,0,0.004808972228206134,0,0,0,0,0,0,0.0022208720660427794,0,0,0,0,0,0,0,0,0.004913834724563296,0,0,0,0,0,0.017724692787444655,0,0,0,0.0025947784827157127,0.0027255968825195564,0,0,0,0,0.013389154125313696,0,0,0,0,0,0.01621325711388188,0.006837941193457174,0
sh600018上港集团.txt	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009643281562100026,0,0,0,0,0.005842654806414601,0.024879846963587433,0,0,0,0,0,0,0.008470882492321124,0
sh600019宝钢股份.txt	0,0,0,0.0065077941170423115,0,0,0.018371696864248575,0,0.00337976402299899,0,0.002003612954151365,0,0.011765858434469893,0,0,0,0,0,0,0,0,0,0,0,0,0.005330252114365195,0,0,0,0.004681883176085913,0,0,0,0,0.012764930780065194,0.006039673122281272,0,0.00871339523005144,0.006301995732783926,0.007355365459013775,0,0,0,0
sh600020中原高速.txt	0,0,0,0.00344090265796102,0,0,0,0,0.0026805024410853,0,0.0015890723074291002,0.003007959201245738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004227441237592065,0,0,0,0.011139653226296398,0.003900423255756763,0,0.1763798063709104,0,0.003374636893843302,0,0,0,0,0,0,0,0.004892664983495804,0.007285327904017425
sh600021上海电力.txt	0,0.009459152829996547,0,0,0,0,0.014084968068159237,0,0.002591152504507712,0,0.004608309777380848,0.00581538811403521,0.027061474298468908,0,0,0,0.007445023051528289,0,0,0.013594943953441097,0,0,0,0,0,0.004086526758024795,0,0,0,0,0,0.010311694915249768,0,0,0.0032621491796686396,0,0,0.006680269900346261,0,0.005639113707643238,0,0,0,0
